POLH,ACP2,GPR132
MAN2C1,TRG-AS1,GBP2
FGF14-AS2,MYO7A,MAT2B
NOS2,GSDMD,PXN
FAP,TFEC,PARVG
RBP5,ZNF136,CREBRF
SRSF5,PLEKHG1,RAB37
DCLK3,DENND1A,TBC1D2B
PLCH2,CALCOCO2,CD80
WHAMM,SPOCK2,HLA-B
SCG5,ZC3H12D,SUCLG1
COL5A1,PTPRCAP,RPS20
SDHAP2,HEXD,CXorf65
GPAT3,DOCK8,NHS
CD163,ZNF564,MED27
SDS,TLR4,NSMCE2
LOC644936,SHFL,OTULINL
LINC01235,PRR5L,SH2D1A
ALPK2,SLC7A7,CCDC174
AIRIM,TNFAIP8,HLA-A
MBNL3,GPR174,SLC31A2
DGLUCY,TRANK1,GRB2
FREY1,HNRNPLL,NOP53
TMEM88,C2,PGGHG
COL4A2,GNG2,ITGB7
KHDC4,TRAV13-2,C12orf76
HACD3,RAB1B,ABL1
SERPINE2,FCGR1CP,MYO1F
PKM,TADA2B,CNOT10
PTH1R,SUSD3,HPSE
SETD6,LIMD2,ICAM2
DOLPP1,VPS25,SNHG8
SLC24A1,RNF213,MIB2
C2orf80,FYB1,WDR70
GAS7,PRDM1,P2RY6
SUPV3L1,SDHAF1,MMP13
TARDBP,ID2,CD96
CD36,HCLS1,RPSA
FBLN2,CARD8-AS1,TLR7
TCAF1,MRPS14,RAPGEF6
SYNDIG1,THBD,ZNF207
RERGL,SGPP1,PLAAT4
NDUFS1,MED11,GPRIN3
MIR22HG,GOLGA7B,PARP11
LOC729737,QDPR,SYT6
SNORD25,CD160,MIAT
ZNF330,SCPEP1,CXCL13
TMEM141,MLX,EVL
PPARG,RBL2,SIGLEC16
COL21A1,GAA,B4GALNT1
SRSF4,CLEC17A,THSD1
AQP9,CASP3,TCERG1L
CCM2L,PLEKHF1,GCNT1
TBC1D2,SERINC2,GIMAP7
FFAR2,CRYL1,SECTM1
ADPGK,FAM32A,LCK
SMAGP,TMEM106A,CXCL11
FAM110D,TMEM171,SLA
FABP4,ZBTB1,FCRL3
GSDMB,SHISA5,SRXN1
SRRM1,CERS4,ANXA2R
WDR48,HMGN2,MAX
MARCHF11,FLVCR2,HLA-H
DDX24,PSMA5,IL2RA
FBLN7,MITD1,ASCL2
TSPAN18,OSTF1,PRKX
RAB31,MCRIP1,ZBP1
GAL,ZNF672,SLC12A8
MAT1A,BAK1,SIGIRR
NEO1,ZNF100,TMED1
PTPRN2,CAPZA1,LINS1
RGP1,PPP2R5C,FAM78A
HSPA9,LARP7,DDX6
COX5A,PSME3IP1,PSMB8
VGLL3,PCED1B-AS1,S1PR4
LOXL1,LAMB3,TCF25
REC8,PTPN2,LAIR2
FBXO10,ADGRG5,CYBB
STAG3L2,DUSP2,DENND1C
HSPA12B,USF1,ARHGEF3
FLJ42627,L3HYPDH,LILRB2
EYA2,MYD88,SEPTIN1
FBXO2,DHX58,NLRC3
SIMC1,DMAC2L,SLC28A3
PTPRO,ZDHHC24,RNF114
SNORD114-3,MLKL,GSTK1
ZNF346,KCNA3,ITPKA
NEMP1,CTTNBP2,TOR4A
SOX17,MVB12B,BTN3A2
FCGR2A,EPDR1,ZNF80
ITPR1,OGFR,PRKCH
DNLZ,EID3,WRAP73
NHERF2,PEX2,IRF2
DENND3,ADAP2,TMEM203
