HAMP,SIRT7,
GTF2IP20,SNX11,
SWSAP1,SIRT6,
ZNF841,NECTIN2,
CD82,PGGT1B,
ARCN1,IKBKE,
TNFRSF25,TRIP4,
RPSAP52,FIG4,
KAZALD1,LRRC8B,
ELL2,POLR2C,
SEMA4B,NACC1,
MMP14,ZWINT,
NDRG3,IRF5,
USP46,LMAN2,
TNIP3,FCGR1A,
TGM2,ADAM9,
OSCAR,IL27RA,
SLC6A11,SNX9,
SIGLEC16,NUP62,
KCNJ2,MYO7A,
POPDC2,NOCT,
FAR1,WDR62,
UTP11,SNAP23,
YBX1,PLEKHO1,
NTM,TM4SF19,
DPP9,RCSD1,
PGGHG,CTSS,
TUBB6,FBRS,
APOBEC3H,BCL10,
LILRA5,NINJ1,
TMEM14B,XRCC4,
ANO9,SLC20A2,
CCN2,NPC2,
CILP,BAALC-AS2,
ZNF438,UBE2S,
PHKG1,UBE2Z,
MACO1,TELO2,
PRR5L,NRXN3,
C5orf46,TAGLN2,
MTF1,HBEGF,
EDN1,FYB1,
ICE1,PTBP1,
SLC26A10P,ARL8A,
SAT2,GMEB1,
TCERG1L,VASP,
SMIM7,ATP13A2,
NRDC,MYPOP,
AJAP1,OSBPL11,
FHIP2A,ARID3A,
GAGE10,REEP4,
SOX17,EDC4,
TFCP2L1,GMIP,
ATP8B4,CSNK1G2,
MIR22HG,STRN4,
DHRS7B,ZMIZ2,
KRTAP10-12,SSX2IP,
ANXA2R-OT1,ERP29,
PRAM1,ADAP2,
NOX4,CATSPER1,
ZFP69B,GSK3A,
KIF20B,HLA-H,
TMCC1-DT,STX11,
TBCD,DRAM1,
POM121C,EIF4G1,
ODF1,PCCA,
LILRB3,ABRACL,
SF3A3,U2AF2,
CASK,AFAP1,
HIC1,PMM2,
TAOK1,UBE2M,
PPP1R8,AP1B1,
SMIM11,TRAPPC11,
ADCY9,SIGLEC7,
C22orf46P,YIPF1,
AP4B1,ALYREF,
TMIGD3,TMEM150B,
MZB1,IL1RAP,
COPB1,GPR65,
PPP3R1,ADPRS,
MTOR,H3-3B,
BRPF3,RBM42,
ANO4,SMG9,
VDAC2,PRPF31,
CCDC102B,IL10RB,
SLC25A17,STPG1,
VEZT,ZC2HC1C,
EDDM3A,SPP1,
CHRDL2,EFTUD2,
BRIX1,BAG3,
SCUBE2,DUSP6,
PNPLA1,BHLHE40,
SYF2,CHMP2A,
APOL3,CDK5,
DHRS3,TFE3,
FAP,C1QA,
MIR582,SLC2A1,
RASGRP3,ZYX,
KRT86,TFDP3,
RSC1A1,MMP12,
PIK3CD,TNFRSF11A,
TPM4,AP2S1,
AQP12B,RASSF4,
NDUFA6,CTBP1,
LEPR,PACSIN2,
IL6,UTP18,
MYO9B,NELFA,
ZNF767P,TMEM199,
DENND2D,ARHGEF3,
SLC28A3,PGAM1,
NEDD8,C3AR1,
ZNF432,GNGT2,
FCGR1CP,CCNK,
PTPRN2,LILRB1,
SSH1,PPP4C,
COQ10B,CD38,
KIT,RPN1,
IL1RN,DNASE2B,
DDX18,GNG5,
ICAM2,PPP1R9B,
SNORD114-11,BUD23,
CHUK,CANT1,
CNPY2,SNX20,
SPANXN5,IST1,
DHRS4L2,NUB1,
ENDOD1,SLBP,
ADAMTS14,AP3B1,
NFYC-AS1,GDAP2,
SDS,VPS4A,
TRIM52,GSR,
FAM156A,MYD88,
MT1G,PLXNA1,
