CDC14A,TMEM41A,TMEM14C
BTD,TOR1AIP2,CPED1
CHD9,WDR46,POFUT2
APOBR,PIM3,PTK2B
OS9,ABHD13,STYXL1
LARS2,PSME3,ZNF410
CLPP,LINC00641,HSD17B10
APLP2,AGK,MYG1
TRAPPC5,MIR3186,TSC22D4
SFRP4,MALAT1,YWHAB
REM2,MDM4,SGSH
DHX30,MAN2A2,IPO4
HYI,DLD,CDK4
LINC01098,ANAPC4,TUFM
RPS17,BIVM,SIGLEC14
LRRC8E,EIF5A,ARF3
CCL11,RNF24,SENP3
TRAIP,HAPSTR1,OSGEP
ARMCX2,RBM33,TMEM17
MND1,NAPEPLD,NRSN2
CRABP2,RAB7A,POU2F1
CTNS,LSM8,GTF2IRD1
PHB2,CHSY1,YKT6
SHISA5,CCSAP,CARD14
IFT70B,TOR3A,PID1
AOAH,ZBTB11,ITPA
CCDC51,TAP2,CRCP
TENT4A,ATF6,FCGR3B
MRPL4,SNX13,CAMTA2
ARPIN,ZNF767P,ZNF205
NUDT16L1,DCTN5,CYREN
RTL8B,FZD6,THAP6
FDX2,LOC100130691,COPRS
SLC35A4,PSMC2,GET4
TUSC2,FGFR1OP2,ARHGDIA
ECM2,YY1AP1,PARP6
POR,WDR73,CDC42EP2
RNF135,MAGEF1,VPS33B
PYM1,RPAIN,HOXB-AS3
MAEL,CERS5,GTPBP3
MKI67,CDC42SE1,ATXN7L3
CSDE1,DNAL1,DPH7
NME6,SREK1,NDUFS2
ELF3,IMPDH1,DOT1L
GTF2F1,RBCK1,OGFR
ZZEF1,FBXO41,TSEN54
BZW1,ISY1,ZMYND8
TXNDC9,TRA2B,ENOPH1
MSRB3,POLM,ROPN1L
PFKL,SLBP,ZNF394
WDR55,KIAA0753,GSPT1
FOXO3B,SNORD10,B4GALNT1
MTMR14,DDX39B,UQCC4
AGPAT3,TLE3,CEP83
ADRM1,ZNF12,ABCE1
DCTN2,STK4,PPP3R1
LARP1B,VEZT,RLF
EIF3E,CXorf38,MTIF2
RND3,KCNRG,EOLA1
DALRD3,ANKMY2,GIT1
PHB1,ARID3B,RNF41
MYO9B,HARS2,TMED4
