ARHGAP22,SIRPG,SPOCK2
TGM6,DENND2D,SH3GLB2
FBLN7,ITGB7,KANSL1
LOC100507547,CD72,FLI1
MIR483,FGD3,SP2
MPC2,DOCK2,PYM1
MORN4,LILRA4,RAB39B
AMER2,UBASH3A,ZSWIM1
DHCR7,IGHM,TSC22D2
CRKL,MAP3K14,WBP1L
ARHGAP42,DCK,CCAR2
SF3A1,CYSLTR1,SUN2
BCR,CD3D,SMDT1
HAND2,PLAC8,CD247
CORO2A,TMIGD2,THG1L
KLF15,PRKD2,CRTC2
CITED2,KRT72,CSTF3
P2RY8,DGKA,ING1
ZBTB16,ITGAL,SYTL1
POLR3H,NPHS1,ARRDC1-AS1
PFDN5,SIPA1,TNFAIP2
SPATA2,PARVG,SH3BP1
TBC1D13,MOB3A,PAXX
RBKS,SIDT1,SFXN2
XIRP1,COL4A3,SNAI3
ABHD4,ANXA2R,SRRM1
MICOS10,CCDC69,RNF10
SNX12,SCIMP,ZSCAN18
ATP5F1E,ECE1-AS1,DDX24
IGLL3P,S1PR4,TAF15
SFXN4,CNOT6L,BRD3
MYL9,SH2D3C,HNRNPR
ZNF219,RNF44,RCL1
ALK,FGD2,RAB29
RPS19BP1,BCL11B,SPOUT1
CCL11,GP1BA,OAZ2
RXRA,ARL11,CCDC102A
MOSPD3,NELL2,ZNF585A
LRTOMT,PASK,ZCCHC8
ZHX3,SYK,PCGF3
GNG4,SNX29P1,HCP5
TM9SF4,MDS2,SGSM3
PDZD4,PTPRC,DOK3
FAXDC2,LYL1,PPIL2
BRF2,ANKRD13A,RCSD1
CHMP4B,HMSD,GNAI2
TRMT5,SPNS3,SNN
MSANTD3,SERPINB9P1,SWSAP1
RNF215,C11orf21,CDK13
DLEU1,TRANK1,B4GALT3
GNAO1,CIITA,CLEC16A
C2orf76,RBM38,RASGRP2
H2AC6,IL4R,ZBP1
ST6GAL1,SH2D1A,
SNORD13,AGAP2,
TOR1B,ICOS,
MIEF2,TIGIT,
PPDPF,TERF2,
EEF1G,ILDR1,
CIMAP2,CYLD,
IGFBP2,CD8B,
SHB,GIMAP7,
TAB1,IPCEF1,
VWCE,TNFAIP8L2,
C9orf50,ITGB2-AS1,
GAP43,IKBKE,
CIDEB,KCNA3,
TRIM8,ZNF296,
NCOA6,RAPGEF6,
LINC01278,FAM216B,
FMO3,LIMD2,
ODF2,TTC24,
VSTM2L,STRBP,
NME7,EMB,
LINC00485,RIPOR2,
CLSTN2,SLC15A2,
PSMF1,NLRC5,
PXMP4,CNTRL,
ABCG1,NCOA3,
SAXO1,BFSP2,
SLC41A1,CD40,
KIF13B,MAST3,
CIMAP1B,ARHGEF18,
HLX,BIN2,
LRSAM1,TRAV9-2,
MAP1LC3A,CYTIP,
DNAL4,GRK6,
ADARB2,TIFA,
GNAZ,PRKCB,
ADGRB2,NLRP1,
RIPK1,CEACAM21,
KRTAP5-10,CLUHP3,
RNF180,FMNL1,
IFIT2,NRF1,
SOX15,LINC00954,
THEM6,RFTN1,
SLC20A2,SIGLEC6,
CYFIP1,ARHGEF1,
CASTOR1,IRF2,
SLC27A1,RESF1,
ALDH2,LBH,
SELENOH,STK4,
MALL,MAP4K2,
CEMIP,TNFRSF25,
LPCAT4,UIMC1,
ITIH2,RASSF2,
RERGL,DUS2,
ENTPD3,FLT3LG,
ORM2,LY75,
MOV10L1,RABGAP1L,
TMEM141,LPAR5,
ITGB4,TLR6,
MN1,NEK8,
ABCC12,FLT3,
HSPA1L,TASL,
GLDN,CARD8-AS1,
SLC35D2,STEAP1B-AS1,
MAP3K12,GNGT2,
