PIP4P1,NUP93,
XRN2,CPAMD8,
PSG4,RASGEF1C,
NCOA6,SEMA3D,
C8orf76,TMC6,
ABCA9,WDR90,
BEND7,WNT4,
CTSF,MOCS1,
ZNF704,HMX1,
PRR13,PCSK5,
UBE2D2,TERF1,
ZFAND1,LINC02877,
RB1CC1,LINC00663,
PSG5,MAPKAPK5,
ZNF200,MICB,
ZNF451,TPP1,
NDUFS1,MARS1,
MMADHC,KRAS,
GCHFR,NPLOC4,
ARID5B,EXT2,
CCDC107,P3H2,
KDSR,KIF26B,
OR9G1,CAPN15,
TARDBP,PHKA2,
UQCC6,CEP170P1,
HSD17B11,NR4A1,
PHIP,BOC,
FOXM1,GTF2F2,
NRBP2,HPS3,
ACTBL2,AGAP4,
FOSL1,ADPGK,
CACNB3,ACAT1,
FAM200C,P2RX7,
DNAJC21,CHRNB4,
EED,KCNC1,
LOC729737,DGKG,
TRIM6,PTPRF,
TUT4,TBC1D5,
AHCYL2,FOXN3,
TMEM18,DPYSL3,
C16orf87,GLB1L,
IGFBP1,TNS1,
ITPR1,SRR,
PPARGC1B,FAM131B,
FAM86DP,AGAP6,
TMEM236,TMEM63A,
TRAPPC13,USP28,
PSG1,MICAL1,
CAT,ITSN1,
ZNF706,OR2L13,
CEP83,CBX4,
GPM6B,PPP6R1,
DYNC2I1,POGLUT3,
PBXIP1,CLTRN,
FAM219A,OGG1,
CASP4,CRY2,
ZNF197,AMPH,
TMTC2,FKBP7,
DYNC2H1,AIFM2,
BORCS6,BET1L,
REV1,LINC00479,
GPR68,ZHX3,
DCT,DGKQ,
ELOVL2,COG8,
CLIP4,CNTLN,
RNF138,CHCHD6,
NARS2,ABCA8,
NUDCD1,CARMIL3,
LRRN4,SIRT7,
ACTR1A,AGL,
LINC01091,MICALL2,
ZNF286B,LCMT1,
PIGO,CHP1,
PSG8,RHOU,
AGPS,HHIPL1,
PLEKHM1,RFX4,
OXCT1,GIT1,
RSBN1L,VEGFA,
FUOM,MELTF-AS1,
FNBP4,SLC30A8,
