NRP1	UniProtKB:O14786	Neuropilin-1
NRP1	UniProtKB:O14786	Neuropilin-1
NRP1	UniProtKB:O14786	Neuropilin-1
NRP1	UniProtKB:O14786	Neuropilin-1
ITGB1BP1	UniProtKB:O14713	Integrin beta-1-binding protein 1
TBX4	UniProtKB:P57082	T-box transcription factor TBX4
CLIC4	UniProtKB:Q9Y696	Chloride intracellular channel protein 4
ADGRG1	UniProtKB:Q9Y653	Adhesion G-protein coupled receptor G1
NOX1	UniProtKB:Q9Y5S8	NADPH oxidase 1
E2F8	UniProtKB:A0AVK6	Transcription factor E2F8
HEY1	UniProtKB:Q9Y5J3	Hairy/enhancer-of-split related with YRPW motif protein 1
EFNA1	UniProtKB:P20827	Ephrin-A1
EDN2	UniProtKB:P20800	Endothelin-2
SLC12A6	UniProtKB:Q9UHW9	Solute carrier family 12 member 6
CEMIP2	UniProtKB:Q9UHN6	Cell surface hyaluronidase CEMIP2
EGFL7	UniProtKB:Q9UHF1	Epidermal growth factor-like protein 7
MIA3	UniProtKB:Q5JRA6	Transport and Golgi organization protein 1 homolog
APELA	UniProtKB:P0DMC3	Apelin receptor early endogenous ligand
EMC10	UniProtKB:Q5UCC4	ER membrane protein complex subunit 10
FZD8	UniProtKB:Q9H461	Frizzled-8
TNFRSF12A	UniProtKB:Q9NP84	Tumor necrosis factor receptor superfamily member 12A
APLN	UniProtKB:Q9ULZ1	Apelin
SEMA4A	UniProtKB:Q9H3S1	Semaphorin-4A
FZD4	UniProtKB:Q9ULV1	Frizzled-4
SH2D2A	UniProtKB:Q9NP31	SH2 domain-containing protein 2A
NOTCH3	UniProtKB:Q9UM47	Neurogenic locus notch homolog protein 3
ADTRP	UniProtKB:Q96IZ2	Androgen-dependent TFPI-regulating protein
IGFBP7	UniProtKB:Q16270	Insulin-like growth factor-binding protein 7
CXCL8	UniProtKB:P10145	Interleukin-8
OR10J5	UniProtKB:Q8NHC4	Olfactory receptor 10J5
SIRT1	UniProtKB:Q96EB6	NAD-dependent protein deacetylase sirtuin-1
ROBO1	UniProtKB:Q9Y6N7	Roundabout homolog 1
HIF3A	UniProtKB:Q9Y2N7	Hypoxia-inducible factor 3-alpha
CYP1B1	UniProtKB:Q16678	Cytochrome P450 1B1
VAV3	UniProtKB:Q9UKW4	Guanine nucleotide exchange factor VAV3
ECM1	UniProtKB:Q16610	Extracellular matrix protein 1
CALCRL	UniProtKB:Q16602	Calcitonin gene-related peptide type 1 receptor
CALCRL	UniProtKB:Q16602	Calcitonin gene-related peptide type 1 receptor
PDCL3	UniProtKB:Q9H2J4	Phosducin-like protein 3
PDCL3	UniProtKB:Q9H2J4	Phosducin-like protein 3
CD160	UniProtKB:O95971	CD160 antigen
COL8A1	UniProtKB:P27658	Collagen alpha-1(VIII) chain
CD93	UniProtKB:Q9NPY3	Complement component C1q receptor
ESM1	UniProtKB:Q9NQ30	Endothelial cell-specific molecule 1
ESM1	UniProtKB:Q9NQ30	Endothelial cell-specific molecule 1
ESM1	UniProtKB:Q9NQ30	Endothelial cell-specific molecule 1
TBX20	UniProtKB:Q9UMR3	T-box transcription factor TBX20
RHOJ	UniProtKB:Q9H4E5	Rho-related GTP-binding protein RhoJ
AAMP	UniProtKB:Q13685	Angio-associated migratory cell protein
FGF10	UniProtKB:O15520	Fibroblast growth factor 10
SRPK2	UniProtKB:P78362	SRSF protein kinase 2
BCAS3	UniProtKB:Q9H6U6	BCAS3 microtubule associated cell migration factor
C1GALT1	UniProtKB:Q9NS00	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
SOX17	UniProtKB:Q9H6I2	Transcription factor SOX-17
SOX17	UniProtKB:Q9H6I2	Transcription factor SOX-17
CCDC134	UniProtKB:Q9H6E4	Coiled-coil domain-containing protein 134
LEP	UniProtKB:P41159	Leptin
LEP	UniProtKB:P41159	Leptin
KLF5	UniProtKB:Q13887	Krueppel-like factor 5
PROK2	UniProtKB:Q9HC23	Prokineticin-2
ITGAV	UniProtKB:P06756	Integrin alpha-V
ITGAV	UniProtKB:P06756	Integrin alpha-V
COL4A1	UniProtKB:P02462	Collagen alpha-1(IV) chain
OVOL2	UniProtKB:Q9BRP0	Transcription factor Ovo-like 2
BMP4	UniProtKB:P12644	Bone morphogenetic protein 4
BMP4	UniProtKB:P12644	Bone morphogenetic protein 4
NCL	UniProtKB:P19338	Nucleolin
RAMP2	UniProtKB:O60895	Receptor activity-modifying protein 2
RAMP2	UniProtKB:O60895	Receptor activity-modifying protein 2
RAMP2	UniProtKB:O60895	Receptor activity-modifying protein 2
TMEM215	UniProtKB:Q68D42	Transmembrane protein 215
GPR4	UniProtKB:P46093	G-protein coupled receptor 4
HTATIP2	UniProtKB:Q9BUP3	Oxidoreductase HTATIP2
PDCD10	UniProtKB:Q9BUL8	Programmed cell death protein 10
ACE	UniProtKB:P12821	Angiotensin-converting enzyme
ACVR1	UniProtKB:Q04771	Activin receptor type-1
VEGFA	UniProtKB:P15692	Vascular endothelial growth factor A, long form
VEGFA	UniProtKB:P15692	Vascular endothelial growth factor A, long form
VEGFA	UniProtKB:P15692	Vascular endothelial growth factor A, long form
VEGFA	UniProtKB:P15692	Vascular endothelial growth factor A, long form
VEGFA	UniProtKB:P15692	Vascular endothelial growth factor A, long form
VEGFA	UniProtKB:P15692	Vascular endothelial growth factor A, long form
VEGFA	UniProtKB:P15692	Vascular endothelial growth factor A, long form
VEGFA	UniProtKB:P15692	Vascular endothelial growth factor A, long form
VEGFA	UniProtKB:P15692	Vascular endothelial growth factor A, long form
IHH	UniProtKB:Q14623	Indian hedgehog protein
EDN1	UniProtKB:P05305	Endothelin-1
EFNB2	UniProtKB:P52799	Ephrin-B2
HS6ST1	UniProtKB:O60243	Heparan-sulfate 6-O-sulfotransferase 1
APLNR	UniProtKB:P35414	Apelin receptor
ACKR3	UniProtKB:P25106	Atypical chemokine receptor 3
EDNRA	UniProtKB:P25101	Endothelin-1 receptor
RORA	UniProtKB:P35398	Nuclear receptor ROR-alpha
PTGS2	UniProtKB:P35354	Prostaglandin G/H synthase 2
COL8A2	UniProtKB:P25067	Collagen alpha-2(VIII) chain
CTNNB1	UniProtKB:P35222	Catenin beta-1
FLT4	UniProtKB:P35916	Vascular endothelial growth factor receptor 3
FLT4	UniProtKB:P35916	Vascular endothelial growth factor receptor 3
FGF1	UniProtKB:P05230	Fibroblast growth factor 1
COL15A1	UniProtKB:P39059	Collagen alpha-1(XV) chain
TNFSF12	UniProtKB:O43508	Tumor necrosis factor ligand superfamily member 12
PDGFA	UniProtKB:P04085	Platelet-derived growth factor subunit A
PDGFA	UniProtKB:P04085	Platelet-derived growth factor subunit A
VAV2	UniProtKB:P52735	Guanine nucleotide exchange factor VAV2
KDR	UniProtKB:P35968	Vascular endothelial growth factor receptor 2
KDR	UniProtKB:P35968	Vascular endothelial growth factor receptor 2
KDR	UniProtKB:P35968	Vascular endothelial growth factor receptor 2
KDR	UniProtKB:P35968	Vascular endothelial growth factor receptor 2
KDR	UniProtKB:P35968	Vascular endothelial growth factor receptor 2
KDR	UniProtKB:P35968	Vascular endothelial growth factor receptor 2
VPS4B	UniProtKB:O75351	Vacuolar protein sorting-associated protein 4B
SERPINE1	UniProtKB:P05121	Plasminogen activator inhibitor 1
ITGB3	UniProtKB:P05106	Integrin beta-3
APOD	UniProtKB:P05090	Apolipoprotein D
GNA13	UniProtKB:Q14344	Guanine nucleotide-binding protein subunit alpha-13
SHC1	UniProtKB:P29353	SHC-transforming protein 1
EPHB2	UniProtKB:P29323	Ephrin type-B receptor 2
EPHA2	UniProtKB:P29317	Ephrin type-A receptor 2
VEGFC	UniProtKB:P49767	Vascular endothelial growth factor C
VEGFB	UniProtKB:P49765	Vascular endothelial growth factor B
PGF	UniProtKB:P49763	Placenta growth factor
CCN2	UniProtKB:P29279	CCN family member 2
MINAR2	UniProtKB:P59773	Major intrinsically disordered NOTCH2-binding receptor 1-like
PRCP	UniProtKB:P42785	Lysosomal Pro-X carboxypeptidase
HOXA3	UniProtKB:O43365	Homeobox protein Hox-A3
PIK3CB	UniProtKB:P42338	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform
PIK3CA	UniProtKB:P42336	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
ITGB1	UniProtKB:P05556	Integrin beta-1
ITGB1	UniProtKB:P05556	Integrin beta-1
NFATC4	UniProtKB:Q14934	Nuclear factor of activated T-cells, cytoplasmic 4
NPR2	UniProtKB:P20594	Atrial natriuretic peptide receptor 2
ANPEP	UniProtKB:P15144	Aminopeptidase N
TYMP	UniProtKB:P19971	Thymidine phosphorylase
NDP	UniProtKB:Q00604	Norrin
ECSCR	UniProtKB:Q19T08	Endothelial cell-specific chemotaxis regulator
RNF213	UniProtKB:Q63HN8	E3 ubiquitin-protein ligase RNF213
RNF213	UniProtKB:Q63HN8	E3 ubiquitin-protein ligase RNF213
RNF213	UniProtKB:Q63HN8	E3 ubiquitin-protein ligase RNF213
RNF213	UniProtKB:Q63HN8	E3 ubiquitin-protein ligase RNF213
PTK2B	UniProtKB:Q14289	Protein-tyrosine kinase 2-beta
VEGFD	UniProtKB:O43915	Vascular endothelial growth factor D
BSG	UniProtKB:P35613	Basigin
GLUL	UniProtKB:P15104	Glutamine synthetase
SEMA5A	UniProtKB:Q13591	Semaphorin-5A
SLC31A1	UniProtKB:O15431	High affinity copper uptake protein 1
SLC31A1	UniProtKB:O15431	High affinity copper uptake protein 1
THY1	UniProtKB:P04216	Thy-1 membrane glycoprotein
CLEC14A	UniProtKB:Q86T13	C-type lectin domain family 14 member A
HAND2	UniProtKB:P61296	Heart- and neural crest derivatives-expressed protein 2
GAB1	UniProtKB:Q13480	GRB2-associated-binding protein 1
HRG	UniProtKB:P04196	Histidine-rich glycoprotein
FZD5	UniProtKB:Q13467	Frizzled-5
CCBE1	UniProtKB:Q6UXH8	Collagen and calcium-binding EGF domain-containing protein 1
CXCL17	UniProtKB:Q6UXB2	C-X-C motif chemokine 17
NRXN1	UniProtKB:P58400	Neurexin-1-beta
S100A7	UniProtKB:P31151	Protein S100-A7
EPGN	UniProtKB:Q6UW88	Epigen
APOLD1	UniProtKB:Q96LR9	Apolipoprotein L domain-containing protein 1
DLL4	UniProtKB:Q9NR61	Delta-like protein 4
DLL4	UniProtKB:Q9NR61	Delta-like protein 4
PIK3R6	UniProtKB:Q5UE93	Phosphoinositide 3-kinase regulatory subunit 6
XBP1	UniProtKB:P17861	X-box-binding protein 1
RTN4	UniProtKB:Q9NQC3	Reticulon-4
ENG	UniProtKB:P17813	Endoglin
ENG	UniProtKB:P17813	Endoglin
ATP5F1B	UniProtKB:P06576	ATP synthase subunit beta, mitochondrial
NRXN3	UniProtKB:Q9HDB5	Neurexin-3-beta
ZNF304	UniProtKB:Q9HCX3	Zinc finger protein 304
MFGE8	UniProtKB:Q08431	Lactadherin
STK4	UniProtKB:Q13043	Serine/threonine-protein kinase 4
PARVA	UniProtKB:Q9NVD7	Alpha-parvin
NOX5	UniProtKB:Q96PH1	NADPH oxidase 5
NOX5	UniProtKB:Q96PH1	NADPH oxidase 5
NOX5	UniProtKB:Q96PH1	NADPH oxidase 5
TMEM100	UniProtKB:Q9NV29	Transmembrane protein 100
HSPG2	UniProtKB:P98160	Basement membrane-specific heparan sulfate proteoglycan core protein
JAG1	UniProtKB:P78504	Protein jagged-1
HOXB3	UniProtKB:P14651	Homeobox protein Hox-B3
ERAP1	UniProtKB:Q9NZ08	Endoplasmic reticulum aminopeptidase 1
RBM15	UniProtKB:Q96T37	RNA-binding protein 15
ANGPT2	UniProtKB:O15123	Angiopoietin-2
MMRN2	UniProtKB:Q9H8L6	Multimerin-2
MMRN2	UniProtKB:Q9H8L6	Multimerin-2
EPHB1	UniProtKB:P54762	Ephrin type-B receptor 1
EPHB4	UniProtKB:P54760	Ephrin type-B receptor 4
EPHB4	UniProtKB:P54760	Ephrin type-B receptor 4
EPHB4	UniProtKB:P54760	Ephrin type-B receptor 4
EPHB3	UniProtKB:P54753	Ephrin type-B receptor 3
THSD7A	UniProtKB:Q9UPZ6	Thrombospondin type-1 domain-containing protein 7A
