IL2RA,,
ACAP1,,
FCGR1CP,,
TADA2B,,
SUSD3,,
LIMD2,,
VPS25,,
RNF213,,
FYB1,,
PRDM1,,
SDHAF1,,
ID2,,
CARD8-AS1,,
MRPS14,,
THBD,,
SGPP1,,
MED11,,
GOLGA7B,,
CNOT10,,
QDPR,,
CD160,,
ANXA2R,,
SCPEP1,,
MLX,,
RBL2,,
GAA,,
CLEC17A,,
CYTH1,,
CASP3,,
PLEKHF1,,
SERINC2,,
CRYL1,,
FAM32A,,
SP140,,
TMEM106A,,
CYLD,,
TMEM171,,
ZBTB1,,
SHISA5,,
CERS4,,
HMGN2,,
GRB2,,
FLVCR2,,
PSMA5,,
MITD1,,
BST2,,
PRKX,,
OSTF1,,
MCRIP1,,
ZNF672,,
BAK1,,
ZNF100,,
CAPZA1,,
PPP2R5C,,
HLA-DMB,,
LARP7,,
PSME3IP1,,
PCED1B-AS1,,
LAMB3,,
PTPN2,,
ADGRG5,,
DUSP2,,
USF1,,
L3HYPDH,,
MYD88,,
DHX58,,
DMAC2L,,
ZDHHC24,,
MLKL,,
KCNA3,,
CTTNBP2,,
CCDC88C,,
MVB12B,,
EPDR1,,
MYO1F,,
OGFR,,
EID3,,
PEX2,,
ADAP2,,
SEMA6B,,
TOR2A,,
DNPEP,,
PML,,
LINC00324,,
DEF6,,
DDX6,,
HCP5,,
ZBP1,,
CYB561D2,,
IL18,,
SPAG7,,
ZDHHC23,,
TEX264,,
NUDCD2,,
TRMT10A,,
OASL,,
MXD4,,
ISCA2,,
ABHD17A,,
RNF114,,
RASSF5,,
TRPC4AP,,
CD48,,
CMPK2,,
CLEC10A,,
CHURC1,,
ZNF91,,
C19orf12,,
ADCY7,,
TMEM60,,
TNFSF18,,
LAMTOR1,,
ATXN7L3,,
RUNX2,,
CD33,,
FLT1,,
TRERF1,,
ISG15,,
STK11,,
CD1D,,
TP53INP1,,
MOB1A,,
DRAXIN,,
SMARCE1,,
ZNF552,,
SIGLEC10,,
C14orf93,,
ADAM9,,
IFIT3,,
LINC02067,,
THAP11,,
UBA7,,
PTPN6,,
DOCK2,,
DENND2D,,
DDX28,,
COL13A1,,
MRM3,,
TBC1D2B,,
ZNF253,,
ACSL5,,
RNF141,,
PLEKHJ1,,
FGFR1,,
GALT,,
SANBR,,
ZNF624,,
SIGLEC1,,
RPP25L,,
PPP1CC,,
BORCS6,,
TNFAIP8L2,,
ARHGAP4,,
VIPAS39,,
MRFAP1L1,,
ARHGAP25,,
TRAM1,,
NELL2,,
LAIR1,,
PDIK1L,,
TRIM5,,
IDO1,,
PSMA3,,
ACVR1,,
TMEM250,,
SSNA1,,
ARHGEF3,,
FBXO33,,
OXLD1,,
CCNG1,,
SCYL3,,
PRMT6,,
TNFRSF11B,,
DCK,,
LINGO1,,
ZMAT2,,
KARS1,,
VXN,,
SUB1,,
RINL,,
RPS19BP1,,
APH1A,,
DHRS12,,
IRF7,,
PCYT2,,
SUMO2,,
SYNRG,,
ZNF79,,
PTPRC,,
ABI1,,
GRAP2,,
TNIP3,,
NME6,,
CCDC88B,,
RPL3P7,,
CNTNAP3,,
ZMIZ1-AS1,,
EFCC1,,
ZNF675,,
CD274,,
SNAP29,,
DYRK1B,,
HELQ,,
SNX11,,
CD74,,
YY1AP1,,
VPS51,,
TANC1,,
AKAP7,,
ATG4C,,
STYX,,
TAP2,,
BET1,,
ITPKA,,
SPATA9,,
TRAPPC4,,
ABHD13,,
TCEANC,,
CCSAP,,
SLC25A28,,
LGALS2,,
ENY2,,
BET1L,,
C12orf76,,
VRK3,,
ADA,,
POP4,,
TXN2,,
CYP24A1,,
NDUFA3,,
TRAF2,,
SLC35D2,,
AMOTL2,,
SREBF1,,
RSPO4,,
BIRC3,,
DELE1,,
CYP1B1,,
GPR55,,
AKAP10,,
LGR6,,
DNAJA1,,
BAG5,,
FLI1,,
C16orf86,,
ARAP2,,
HLA-G,,
CIRBP,,
CLEC1A,,
FAM135B,,
RNFT2,,
MIF4GD,,
SAMD9,,
RBMS3,,
LONRF3,,
SLC9B1,,
TNFRSF18,,
MSL3,,
PSMB7,,
TSPOAP1-AS1,,
SMIM20,,
