FAM187B,PDGFRB,RPS6KA1,HCP5,CR1,ZDHHC8,UBC,ARHGAP35,DOCK2,CCL7,,ZBTB46,,PTPN6,,,,,,CD86,,,,,,,MRPS14,MT-CO1,
EMX1,METAP2,TNIP2,PDE12,CMTM2,MAU2,ATP6V0E1,CRKL,CHRM4,CHI3L1,,CHST13,,TUBGCP2,,,,,,ALOX5,,,,,,,RPS2P5,RPL7P9,
LINC00879,C2CD4B,STX18,MGLL,CCL3L1,BMP5,TXNDC12,TJAP1,LNPEP,LSR,,TLN1,,GRK6,,,,,,NECAP2,,,,,,,BMS1P20,MT-ND5,
LINC00343,PWWP3A,FLOT2,TP73,SLC6A6,GPRC5C,PTP4A2,FAM136A,DAZAP1,GRK2,,ARHGEF17,,GNB2,,,,,,RSPH3,,,,,,,MORF4L1P1,RPS27P3,
FBXO39,CD34,CD101,NID2,GPR35,TTC19,MKRN1,RAB5A,MEFV,PI4K2A,,GCLM,,AIF1,,,,,,HCK,,,,,,,DNAJB6P1,RPS27P8,
FGF4,LOC100131257,ACTN4,B3GALT2,AQP9,CTR9,RB1,TAB2,NLRP3,GRN,,EXOC3L2,,ZMIZ1-AS1,,,,,,MYD88,,,,,,,RN7SL2,MT-ND1,
DNAAF3-AS1,TCN2,PSMA5,SAFB,CEACAM3,COPS2,SUMO2,LCOR,CD74,ZSWIM4,,NXPH4,,TXNRD1,,,,,,CD163,,,,,,,TMX2P1,MT-ND2,
LINC02466,SH3KBP1,G6PD,SOSTDC1,CXCR1,ENKUR,LRRC59,IKBIP,CLEC4A,PIP5K1C,,PARVG,,ATP6V0D1,,,,,,NLRC4,,,,,,,PRR11-AS1,MTCO1P12,
SPACA7,RAMP1,ZNF385A,MAGEB6,ITGA5,RPL7,TM9SF2,GVINP1,RNF183,PCGF2,,ITGAX,,RCSD1,,,,,,HAVCR2,,,,,,,AGAP2-AS1,RPL15P3,
LRRC4B,TMEM117,EAF1,VPREB3,ADGRE3,KIAA1143,SLC8A1,GLE1,SPTBN1,SFPQ,,,,VASP,,,,,,NCKAP1L,,,,,,,RFLNB,RPL13AP5,
LINC03066,FCN3,ACOT7,CERS6,COL23A1,OLFML2B,PSMB2,EPSTI1,OLR1,CMIP,,,,CATSPER1,,,,,,LAIR1,,,,,,,RPS15P4,CD2AP,
SPO11,TSPAN18,LINC01587,PDE8B,LILRA2,CMC2,TUBA1B,CREBRF,DOCK8,PLEKHA4,,,,CD300A,,,,,,CYTIP,,,,,,,ZFTA,RPL36AP37,
DDX4,EIF3M,STXBP2,RNF41,RHOG,FAM225A,MAFK,SIN3A,HLA-DMA,GAA,,,,SIGLEC7,,,,,,PPP2CA,,,,,,,FCF1P2,ANXA2P2,
SPATA41,EML3,CENPBD2P,RSF1,HMOX1,PPARD,TMEM50A,PTPRA,SAMSN1,SELENON,,,,ZYX,,,,,,FKBP15,,,,,,,RPS28P7,RPL17P6,
OR2F1,RNF138,SCIMP,SMAD6,S100A12,IGSF6,CDH6,MCM3,GPR84,GPR65,,,,GNGT2,,,,,,ARHGDIB,,,,,,,MTND2P28,RPL13AP25,
LINC00458,ZSCAN31,TICAM1,COIL,NLRP12,CXCR6,RAP1A,NUCB2,GAS7,TYMP,,,,AP3B1,,,,,,CLEC7A,,,,,,,RPL18AP3,TBCAP1,
HNRNPKP4,MRPL1,SIGLEC15,KANSL2,TH,TOMM70,LAP3,RPUSD4,RAB31,PKM,,,,APBB1IP,,,,,,TLR6,,,,,,,RNA5SP283,TRMT12,
IL22,SMAD9,LAMTOR3,MTRFR,PROK2,PRKACG,RAC1,LMAN2L,MICB,MOB1A,,,,SBNO2,,,,,,TNFAIP8L2,,,,,,,PAG1,SERTAD2,
CIB3,CLEC14A,RAB35,CFHR3,CXCL2,GNPAT,ST6GALNAC5,DHX40,NCOR2,SP2,,,,C1QB,,,,,,CTSS,,,,,,,PLXNA3,SDC4,
ATP2B2,INTS13,MAP1S,ILF3,OSCAR,SRP72,IRF2BPL,CKAP5,ABCC3,UNK,,,,MED16,,,,,,CYB5R4,,,,,,,H3P6,RPL3P4,
LETR1,GRAMD4,COPRS,LMO4,UBAP1,GABARAPL1,MCL1,RAC2,B4GALT1,FAM222B,,,,RNF157,,,,,,DRAM1,,,,,,,RPS28P4,EIF3FP3,
SLC6A20,PRKCE,DNTTIP1,LRRC49,RNASE6,ADGRE2,POLR2B,TMEM200A,LYN,SPRYD3,,,,SGPL1,,,,,,CCR1,,,,,,,CHCHD2P9,CDR2L,
SCTR-AS1,N4BP1,PLIN3,SMG1P2,FAM156A,RPL5,BIRC3,DPYSL3,MCF2L2,BCL3,,,,IGF2R,,,,,,SLA,,,,,,,RPL13P12,UTP14C,
LINC00307,PLA2G6,TANK,LOC645188,CTSL,TAPBPL,SARAF,,CEP126,POLR2E,,,,COPE,,,,,,C1QC,,,,,,,GAPDHP1,,
KRT8P17,CDH5,RHBDF2,SNORA70,CXCL6,FOXN2,RASSF4,,MPO,PHC2,,,,NAGPA,,,,,,FCGR1A,,,,,,,MIR4482,,
NALF1-IT1,LIN9,CCAR2,RGMB-AS1,LY86,TMIGD3,CBLN4,,HDAC3,GMPPB,,,,MYO1F,,,,,,IL10RB,,,,,,,,,
CABS1,SPINT2,NFKB2,TUBA4A,R3HDM4,PRR11,HLA-A,,B9D2,,,,,PPP1R18,,,,,,TLR1,,,,,,,,,
PRR18,VASH1,SPATA12,ZFP90,CCL18,MKNK1,LASP1,,SERPINE1,,,,,CISH,,,,,,MACROH2A1,,,,,,,,,
LINC02372,LENG8,NFKB1,LINC01625,CYP2S1,CRYAB,CCL4,,AOAH,,,,,WAS,,,,,,ENTPD7,,,,,,,,,
NIPAL4-DT,MPPE1,MMP7,ASXL1,C5AR2,SOX17,RAB13,,MMP25,,,,,TNFSF13,,,,,,AMPD3,,,,,,,,,
